E.tau.hat,E.SE.hat,ES,power,nC,nT,sd,tau,mu,R
0.49699545060224554,0.36040403275558286,0.5,0.324,7,500,1,0.5,5,500
0.9989478240488204,0.365989785570091,1,0.75,7,500,1,1,5,500
0.004071912592028323,0.7257530864399863,0,0.112,7,500,2,0,5,500
0.5433882849123172,0.7326847932051299,0.25,0.17,7,500,2,0.5,5,500
1.032551891098987,0.7148357387630113,0.5,0.31,7,500,2,1,5,500
0.013817862578383192,0.6832659977118163,0,0.196,10,2,1,0,5,500
0.533577774865553,0.6445094415072156,0.5,0.292,10,2,1,0.5,5,500
1.0004487305373835,0.6677491361120609,1,0.38,10,2,1,1,5,500
-0.044710574342649204,1.3432489509247798,0,0.192,10,2,2,0,5,500
0.5634234165798045,1.3652278738323789,0.25,0.194,10,2,2,0.5,5,500
1.047335695690103,1.3274827183123554,0.5,0.282,10,2,2,1,5,500
-0.014683600715418363,0.5690217682166675,0,0.104,10,4,1,0,5,500
0.46701118433488226,0.5687714773290482,0.5,0.206,10,4,1,0.5,5,500
1.0326151867235382,0.5681122775844598,1,0.464,10,4,1,1,5,500
0.003971033657519663,1.132144046235525,0,0.108,10,4,2,0,5,500
0.3931080294240086,1.1269552230811775,0.25,0.108,10,4,2,0.5,5,500
1.0405164779383156,1.1601034163690447,0.5,0.2,10,4,2,1,5,500
-0.00894600897988658,0.4801458784038429,0,0.088,10,7,1,0,5,500
0.46277849319858183,0.4766743880485149,0.5,0.182,10,7,1,0.5,5,500
1.0106170758361825,0.4830408510611501,1,0.556,10,7,1,1,5,500
0.050478848019214435,0.9568330714282337,0,0.078,10,7,2,0,5,500
0.5334182623385557,0.9653047697855253,0.25,0.09,10,7,2,0.5,5,500
1.0433956313907677,0.9697921381395008,0.5,0.218,10,7,2,1,5,500
0.003161036576779171,0.4451678661504656,0,0.058,10,10,1,0,5,500
0.483696521567859,0.44475983464200625,0.5,0.2,10,10,1,0.5,5,500
1.0247403681765568,0.43395917298571296,1,0.622,10,10,1,1,5,500
0.07875418768310381,0.8760505116497774,0,0.062,10,10,2,0,5,500
0.5023236689074203,0.8801108670496552,0.25,0.106,10,10,2,0.5,5,500
1.0043249019533256,0.877830760317141,0.5,0.22,10,10,2,1,5,500
-0.011652732582279463,0.33638219719294926,0,0.082,10,50,1,0,5,500
0.5063405909330513,0.33962301162421377,0.5,0.348,10,50,1,0.5,5,500
1.0341957572319662,0.33412191712979206,1,0.854,10,50,1,1,5,500
0.01856544576748474,0.6774606520117347,0,0.06,10,50,2,0,5,500
0.5281535674320861,0.6818138031696727,0.25,0.128,10,50,2,0.5,5,500
0.9920906058038993,0.6836343859231143,0.5,0.322,10,50,2,1,5,500
-0.0017326839060878153,0.30894639132077756,0,0.08,10,500,1,0,5,500
0.47972015796551876,0.30935794951297857,0.5,0.33,10,500,1,0.5,5,500
0.9751098500736212,0.3160463029008865,1,0.87,10,500,1,1,5,500
-0.05854868896191974,0.6167947352140365,0,0.1,10,500,2,0,5,500
0.5114992011711533,0.6236545100469995,0.25,0.166,10,500,2,0.5,5,500
